,time,housing_price,rental_price,inflation_rate,median_house_value,median_tax_paid,property_tax_rate,median_age_homebuyers,housing_starts,interest_rate,mortgage_rate,mortgage_to_income_rate,work_home_rate
2056,01/1997,,164.4,167.8,,,,,1355.0,5.25,7.67,5.603136,
2111,01/1998,,169.5,171.6,,,,,1525.0,5.56,6.99,5.515538,
2112,01/1998,,169.5,171.6,,,,,1525.0,5.56,7.12,5.515538,
2110,01/1998,,169.5,171.6,,,,,1525.0,5.56,6.89,5.515538,
2109,01/1998,,169.5,171.6,,,,,1525.0,5.56,6.94,5.515538,
2108,01/1998,,169.5,171.6,,,,,1525.0,5.56,7.03,5.515538,
2162,01/1999,,175.3,175.6,,,,,1748.0,4.63,6.83,5.467995,
2163,01/1999,,175.3,175.6,,,,,1748.0,4.63,6.78,5.467995,
2161,01/1999,,175.3,175.6,,,,,1748.0,4.63,6.79,5.467995,
2164,01/1999,,175.3,175.6,,,,,1748.0,4.63,6.74,5.467995,
0,01/2000,128395.0,181.1,179.3,,,,38.0,1636.0,5.45,8.15,5.576028,
1,01/2000,128395.0,181.1,179.3,,,,38.0,1636.0,5.45,8.18,5.576028,
2,01/2000,128395.0,181.1,179.3,,,,38.0,1636.0,5.45,8.26,5.576028,
3,01/2000,128395.0,181.1,179.3,,,,38.0,1636.0,5.45,8.25,5.576028,
53,01/2001,137108.0,188.2,183.9,,,,36.0,1600.0,5.98,6.89,5.6952,
52,01/2001,137108.0,188.2,183.9,,,,36.0,1600.0,5.98,7.07,5.6952,
54,01/2001,137108.0,188.2,183.9,,,,36.0,1600.0,5.98,7.02,5.6952,
55,01/2001,137108.0,188.2,183.9,,,,36.0,1600.0,5.98,7.15,5.6952,
106,01/2002,146589.0,197.0,188.7,,,,36.0,1698.0,1.73,6.83,5.811716,
104,01/2002,146589.0,197.0,188.7,,,,36.0,1698.0,1.73,7.14,5.811716,
105,01/2002,146589.0,197.0,188.7,,,,36.0,1698.0,1.73,7.06,5.811716,
107,01/2002,146589.0,197.0,188.7,,,,36.0,1698.0,1.73,6.96,5.811716,
159,01/2003,157181.0,203.3,192.4,,,,40.0,1853.0,1.24,5.91,5.871306,
160,01/2003,157181.0,203.3,192.4,,,,40.0,1853.0,1.24,5.9,5.871306,
156,01/2003,157181.0,203.3,192.4,,,,40.0,1853.0,1.24,5.85,5.871306,
157,01/2003,157181.0,203.3,192.4,,,,40.0,1853.0,1.24,5.95,5.871306,
